;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001209FI252;LFM252  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI252; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI252.In.Value
;A001209FI253;LFM253  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI253; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI253.In.Value
;A001203QI251;SYM251  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI251; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI251.In.Value
;A001203QI252;SYM252  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI252; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI252.In.Value
;A001203QI253;SYM253  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI253; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI253.In.Value
x;A001205LI252;SNM252 SLAMNIVÅMÄTARE 0-3.4m;0;3,400000095;m; Applications.KF15_BioB_App.Programs.Allmänt.A001205LI252; Applications.KF15_BioB_App.Programs.Allmänt.A001205LI252.In.Value
x;A001203QI299;SYM-242.2 Syremätare 242.2;0;100;0; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI299; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI299.In.Value
;A002301LI301;S FKN301 Nivå Aluminiumklorid;0;2,625;m; Applications.KF18.Programs.Kemisk.A002301LI301; Applications.KF18.Programs.Kemisk.A002301LI301.In.Value
x;A002303FI303;S MUV201 flöde utg vatten;0;205;m³/h; Applications.KF18.Programs.Kemisk.A002303FI303; Applications.KF18.Programs.Kemisk.A002303FI303.In.Value
x;A002301FI301;S KFM301 födesmätare aluminium;0;500;ml/min; Applications.KF18.Programs.Kemisk.A002301FI301; Applications.KF18.Programs.Kemisk.A002301FI301.In.Value
;A002102LI101;S FKN101 Nivå Järnklorid;0;2;m; Applications.KF18.Programs.Kemisk.A002102LI101; Applications.KF18.Programs.Kemisk.A002102LI101.In.Value
;A002102PU101;S DSP101 Dos pump järn;0;7,599999905;l/h; Applications.KF18.Programs.Kemisk.A002102PU101.A002102PU101; Applications.KF18.Programs.Kemisk.A002102PU101.A002102PU101.In.Value
;A002102PU102;S DSP102 Dos pump järn;0;7,599999905;l/h; Applications.KF18.Programs.Kemisk.A002102PU102.A002102PU102; Applications.KF18.Programs.Kemisk.A002102PU102.A002102PU102.In.Value
;A002105PI101;S LTM101 Tryckmätare;0;1;bar; Applications.KF18.Programs.Förbehand.A002105PI101; Applications.KF18.Programs.Förbehand.A002105PI101.In.Value
;A002105LI101;S RNM101 Rejektnivåmätare;0;2,680000067;m; Applications.KF18.Programs.Förbehand.A002105LI101; Applications.KF18.Programs.Förbehand.A002105LI101.In.Value
;A002107FI101;S SFM101 Slamflödesmätare;0;25;m3/h; Applications.KF18.Programs.Förbehand.A002107FI101; Applications.KF18.Programs.Förbehand.A002107FI101.In.Value
;A002106LI101;S MBM101 Nivå Kanal Bräddning;0;0,589999974;m; Applications.KF18.Programs.Förbehand.A002106LI101; Applications.KF18.Programs.Förbehand.A002106LI101.In.Value
;A002104CY101;S RTP101 RensTvättPress;0;100;0; Applications.KF18.Programs.Förbehand.A002104CY101; Applications.KF18.Programs.Förbehand.A002104CY101.In.Value
;A002104LI101;S GNM-101 Gallerkanalnivåmätare;0;1000;mm; Applications.KF18.Programs.Förbehand.A002104LI101; Applications.KF18.Programs.Förbehand.A002104LI101.In.Value
;A002203PI201;S Tryck;0;1;bar; Applications.KF18.Programs.Biologisk.A002203PI201; Applications.KF18.Programs.Biologisk.A002203PI201.In.Value
;A002203FI200;S LFM200 Luftflöde;0;900;m3/h; Applications.KF18.Programs.Biologisk.A002203FI200; Applications.KF18.Programs.Biologisk.A002203FI200.In.Value
;A002203FI202;S LFM202 Luftflödesmätare;0;650;m3; Applications.KF18.Programs.Biologisk.A002203FI202; Applications.KF18.Programs.Biologisk.A002203FI202.In.Value
;A002203FI203;S LFM203Luftflödesmätare;0;650;m3; Applications.KF18.Programs.Biologisk.A002203FI203; Applications.KF18.Programs.Biologisk.A002203FI203.In.Value
;A002203QI202;S SYM-202 Syremätare;0;10;g 02/l; Applications.KF18.Programs.Biologisk.A002203QI202; Applications.KF18.Programs.Biologisk.A002203QI202.In.Value
;A002203QI203;S SYM-203 Syremätare;0;10;g O2/l; Applications.KF18.Programs.Biologisk.A002203QI203; Applications.KF18.Programs.Biologisk.A002203QI203.In.Value
;A002203FI201;S LFM201 Luftflödesmätare;0;650;m3; Applications.KF18.Programs.Biologisk.A002203FI201; Applications.KF18.Programs.Biologisk.A002203FI201.In.Value
x;A002203QI213;S SUM213 Slamhalt;0;10;g SS/l; Applications.KF18.Programs.Biologisk.A002203QI213; Applications.KF18.Programs.Biologisk.A002203QI213.In.Value
x;A002208FI201;S SFM-201 Överskottslam flöde;0;25;m3/h; Applications.KF18.Programs.Biologisk.A002208FI201; Applications.KF18.Programs.Biologisk.A002208FI201.In.Value
x;A002207QI200;S SUM200 Slamhalt;0;10;g SS/l; Applications.KF18.Programs.Biologisk.A002207QI200; Applications.KF18.Programs.Biologisk.A002207QI200.In.Value
;A002207LI201;S SNM201 Nivå Returslamgrop;0,022;2,599999905;m; Applications.KF18.Programs.Mellansed.A002207LI201; Applications.KF18.Programs.Mellansed.A002207LI201.In.Value
;A002205CW201_PV;S BSS201 momemmt bassängskrapspel;0;100;0; Applications.KF18.Programs.Mellansed.A002205CW201_PV; Applications.KF18.Programs.Mellansed.A002205CW201_PV.In.Value
;A002303QI300_PV1;S FOSM300 P tot;0;0,5;mg/l; Applications.KF18.Programs.Efterbehandling.A002303QI300_PV1; Applications.KF18.Programs.Efterbehandling.A002303QI300_PV1.In.Value
;A002303QI300_PV2;S FOSM300 P Orto;0;0,5;mg/l; Applications.KF18.Programs.Efterbehandling.A002303QI300_PV2; Applications.KF18.Programs.Efterbehandling.A002303QI300_PV2.In.Value
x;A002602FI601;S SFM601 slamflödesmätare;0;25;m3/h; Applications.KF18.Programs.Slambehandling.A002602FI601; Applications.KF18.Programs.Slambehandling.A002602FI601.In.Value
;A002604LI601;S SFN601 slamlagernivå;0,02;4,300000191;m; Applications.KF18.Programs.Slambehandling.A002604LI601; Applications.KF18.Programs.Slambehandling.A002604LI601.In.Value
;L004101PI009;Tryck rörverkstan;0;10;bar; Applications.UC01_Pumpstation.Programs.Allmänt.L004101PI009; Applications.UC01_Pumpstation.Programs.Allmänt.L004101PI009.In.Value
;A001099TI101;LTG101 Lufttempgivare;-40;40;°C; Applications.UC01_Pumpstation.Programs.AnalogIn.A001099TI101; Applications.UC01_Pumpstation.Programs.AnalogIn.A001099TI101.In.Value
x;A001104FQ103;MIV103 Totalt ink. flöde i m³/h;0;16000;m³/h; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ103; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ103.In.Value
;A001053PI100;VTM-100 Vattentryckm. pumpstn. fläktrum;0;10;bar; Applications.UC01_Pumpstation.Programs.AnalogIn.A001053PI100; Applications.UC01_Pumpstation.Programs.AnalogIn.A001053PI100.In.Value
;A001103YI141;AVP-104 Vibrationsmätning 141 Y-led;0;20;mm/s; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI141; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI141.In.Value
;A001103YI142;AVP-104 Vibrationsmätning 142 X-led;0;20;mm/s; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI142; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI142.In.Value
;A001103YI143; AVP-105 Vibrationsmätning 143 Y-led;0;20;mm/s; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI143; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI143.In.Value
;A001103YI144; AVP-105 Vibrationsmätning 144 X-led;0;20;mm/s; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI144; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103YI144.In.Value
;A001103PU1_4;Strömmätning AVP 104A,B;0;600;A; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103PU1_4; Applications.UC01_Pumpstation.Programs.AnalogIn.A001103PU1_4.In.Value
;A001103PU101;AVP101 Avloppspump 1;0;10;gE; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU101.A001103PU101; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU101.A001103PU101.In.Value
;A001103PU102;AVP102 Avloppspump 1;0;10;gE; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU102.A001103PU102; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU102.A001103PU102.In.Value
;A001103PU103;AVP103 Avloppspump 1;0;10;gE; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU103.A001103PU103; Applications.UC01_Pumpstation.Programs.AVP100.A001103PU103.A001103PU103.In.Value
;A001103LI101;PNM101     Nivåmätare 101;0;2;m; Applications.UC01_Pumpstation.Programs.AVP100.A001103LI101; Applications.UC01_Pumpstation.Programs.AVP100.A001103LI101.In.Value
;A001104LI101;GNM101A Gallernivåmätare;0;2000;mmVp; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI101; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI101.In.Value
;A001104LI102;GNM102A Gallernivåmätare;0;2000;mmVp; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI102; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI102.In.Value
;A001104LI103;GNM103A Gallernivåmätare;0;2000;mmVp; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI103; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI103.In.Value
;A001104LI104;GNM104A Gallernivåmätare;0;2000;mmVp; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI104; Applications.UC01_Pumpstation.Programs.Rensgaller.A001104LI104.In.Value
;A001104LI105;GNM101B Nivåmätare;0;2200;mmVp; Applications.UC01_Pumpstation.Programs.MRV.A001104LI105; Applications.UC01_Pumpstation.Programs.MRV.A001104LI105.In.Value
x;A001104FI101;MIV101 Ink. Flöde 101;0;8000;m³/h; Applications.UC01_Pumpstation.Programs.MRV.A001104FI101; Applications.UC01_Pumpstation.Programs.MRV.A001104FI101.In.Value
x;A001104FI102;MIV102 Ink. Flöde 102;0;8000;m³/h; Applications.UC01_Pumpstation.Programs.MRV.A001104FI102; Applications.UC01_Pumpstation.Programs.MRV.A001104FI102.In.Value
;A001104WI101;VB-101 Vågbord 101;-0,5;46,59999847;ton; Applications.UC02_Renshantering.Programs.AnalogIn.A001104WI101; Applications.UC02_Renshantering.Programs.AnalogIn.A001104WI101.In.Value
;A001104WI102;VB-102 Vågbord 102;0;46,59999847;ton; Applications.UC02_Renshantering.Programs.AnalogIn.A001104WI102; Applications.UC02_Renshantering.Programs.AnalogIn.A001104WI102.In.Value
;A001104LI111;Renstorn 101-sida;0;100;0; Applications.UC02_Renshantering.Programs.Grovrening.A001104LI111; Applications.UC02_Renshantering.Programs.Grovrening.A001104LI111.In.Value
;A001104LI112;Renstorn 102-sida;0;100;0; Applications.UC02_Renshantering.Programs.Grovrening.A001104LI112; Applications.UC02_Renshantering.Programs.Grovrening.A001104LI112.In.Value
;A001106LI101;YNM101 Ytnivåmätare;0;4;m; Applications.UC03_Försed.Programs.AnalogIn.A001106LI101; Applications.UC03_Försed.Programs.AnalogIn.A001106LI101.In.Value
;A001106LI102;YNM 102 Ytnivåmätare;0;4;m; Applications.UC03_Försed.Programs.AnalogIn.A001106LI102; Applications.UC03_Försed.Programs.AnalogIn.A001106LI102.In.Value
;A001003PI101;BVA101 Tryck brutet vatten;0;10;bar; Applications.UC03_Försed.Programs.AnalogIn.A001003PI101; Applications.UC03_Försed.Programs.AnalogIn.A001003PI101.In.Value
;A001003LI101;BVA101 Nivå brutet vatten;0;3,5;mVp; Applications.UC03_Försed.Programs.AnalogIn.A001003LI101; Applications.UC03_Försed.Programs.AnalogIn.A001003LI101.In.Value
;A001102LI102;FKN102 Fällningskemikalie Nivå;0;7000;l; Applications.UC03_Försed.Programs.AnalogIn.A001102LI102; Applications.UC03_Försed.Programs.AnalogIn.A001102LI102.In.Value
x;A001004FI101;ABF101 Flöde;0;5;m3/h; Applications.UC03_Försed.Programs.AnalogIn.A001004FI101; Applications.UC03_Försed.Programs.AnalogIn.A001004FI101.In.Value
;A001004LI101;ABN101 Nivå;0;10;m; Applications.UC03_Försed.Programs.AnalogIn.A001004LI101; Applications.UC03_Försed.Programs.AnalogIn.A001004LI101.In.Value
;A001004PU101_FRQ;ABP101 Frekvens;0;50;Hz; Applications.UC03_Försed.Programs.AnalogIn.A001004PU101_FRQ; Applications.UC03_Försed.Programs.AnalogIn.A001004PU101_FRQ.In.Value
;A001107CY601_TRQ;SKP601 Belastning;0;100;%; Applications.UC03_Försed.Programs.AnalogIn.A001107CY601_TRQ; Applications.UC03_Försed.Programs.AnalogIn.A001107CY601_TRQ.In.Value
;A001107CY602_TRQ;SKP602 Belastning;0;100;%; Applications.UC03_Försed.Programs.AnalogIn.A001107CY602_TRQ; Applications.UC03_Försed.Programs.AnalogIn.A001107CY602_TRQ.In.Value
;A001102PU101;ABP101 Doserpump;0;100;l; Applications.UC03_Försed.Programs.AnalogIn.A001102PU101; Applications.UC03_Försed.Programs.AnalogIn.A001102PU101.In.Value
;A001102PU102;ABP102 Doserpump;0;100;l; Applications.UC03_Försed.Programs.AnalogIn.A001102PU102; Applications.UC03_Försed.Programs.AnalogIn.A001102PU102.In.Value
;A001102PU103;ABP103 Doserpump;0;100;l; Applications.UC03_Försed.Programs.AnalogIn.A001102PU103; Applications.UC03_Försed.Programs.AnalogIn.A001102PU103.In.Value
;A001102PU104;ABP104 Doserpump;0;100;l; Applications.UC03_Försed.Programs.AnalogIn.A001102PU104; Applications.UC03_Försed.Programs.AnalogIn.A001102PU104.In.Value
;A001107PI601;STM601 Slamtryck;-1;4;bar; Applications.UC03_Försed.Programs.AnalogIn.A001107PI601; Applications.UC03_Försed.Programs.AnalogIn.A001107PI601.In.Value
;A001102FI101;FKF101 Fällningskemikalie Flöde;0;30;l/min; Applications.UC03_Försed.Programs.AnalogIn.A001102FI101; Applications.UC03_Försed.Programs.AnalogIn.A001102FI101.In.Value
;A001107PU101_CUR;PSP101 Motorström;0;10;A; Applications.UC03_Försed.Programs.AnalogIn.A001107PU101_CUR; Applications.UC03_Försed.Programs.AnalogIn.A001107PU101_CUR.In.Value
;A001107PU102_CUR;PSP102 Motorström;0;10;A; Applications.UC03_Försed.Programs.AnalogIn.A001107PU102_CUR; Applications.UC03_Försed.Programs.AnalogIn.A001107PU102_CUR.In.Value
;A001102FI102;FKF102 Fällningskemikalie Flöde;0;12;l/min; Applications.UC03_Försed.Programs.AnalogIn.A001102FI102; Applications.UC03_Försed.Programs.AnalogIn.A001102FI102.In.Value
;A001102FI103;FKF103 Fällningskemikalie Flöde;0;12;l/min; Applications.UC03_Försed.Programs.AnalogIn.A001102FI103; Applications.UC03_Försed.Programs.AnalogIn.A001102FI103.In.Value
;A001102LI101;FKN101 Fällningskemikalie Nivå;0;7000;l; Applications.UC03_Försed.Programs.AnalogIn.A001102LI101; Applications.UC03_Försed.Programs.AnalogIn.A001102LI101.In.Value
;A001102QI101;Densitetsmätare;1;1,200000048;mvp; Applications.UC03_Försed.Programs.Fällningskemikalie.A001102QI101; Applications.UC03_Försed.Programs.Fällningskemikalie.A001102QI101.In.Value
;A001052PI101;LTM-101 Tryck frånluft;0;100;mbar; Applications.UC03_Försed.Programs.Externslammottagning.A001052PI101; Applications.UC03_Försed.Programs.Externslammottagning.A001052PI101.In.Value
;A001052TI101;TEG-101 Temperatur inomhus;0;50;C; Applications.UC03_Försed.Programs.Externslammottagning.A001052TI101; Applications.UC03_Försed.Programs.Externslammottagning.A001052TI101.In.Value
x;A001101FI101;SFM-101 Slamflödesmätare;0;400;m3/h; Applications.UC03_Försed.Programs.Externslammottagning.A001101FI101; Applications.UC03_Försed.Programs.Externslammottagning.A001101FI101.In.Value
;A001101LI101;SFM-101 Slamnivåsmätare;0;5,5;m; Applications.UC03_Försed.Programs.Externslammottagning.A001101LI101; Applications.UC03_Försed.Programs.Externslammottagning.A001101LI101.In.Value
;A001101PI101;TG-101 Tryck Dräneringsledning;0;100;mbar; Applications.UC03_Försed.Programs.Externslammottagning.A001101PI101; Applications.UC03_Försed.Programs.Externslammottagning.A001101PI101.In.Value
;A001201PU305;DSP305 Frekvens;0;90;Hz; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201PU305; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201PU305.In.Value
;A001201PU306;DSP306 Frekvens;0;90;Hz; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201PU306; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201PU306.In.Value
x;A001205QI201;AMM201 Ammoniummätare;0;25;mg/l; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI201; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI201.In.Value
x;A001205QI301;TFM301 Totalfosformätare;0;0,5;mg/l; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI301; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI301.In.Value
;A001205TI301;VTM301 Utgående vattentemp;-20;30;°C; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205TI301; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205TI301.In.Value
x;A001205QI302;NIM301 Nitratmätare;0;50;mg/l; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI302; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI302.In.Value
x;A001205QI303;OFM301 Ortofosfatmätare;0;0,5;mg/l; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI303; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205QI303.In.Value
x;A001201FI301;KKM301 Flöde kolkälla;0;30;l/m; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201FI301; Applications.UC05_Kemsteg.Programs.Kemsteg.A001201FI301.In.Value
;A001205LI301;MUK301 Mätning utgående kanal;0;600;mm; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205LI301; Applications.UC05_Kemsteg.Programs.Kemsteg.A001205LI301.In.Value
;A001607CV601_CUR;Slamtransportskruv 601 strömförbrukning;0;90;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV601_CUR; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV601_CUR.In.Value
;A001607CV602_CUR;Slamtransportskruv 602 strömförbrukning;0;90;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV602_CUR; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV602_CUR.In.Value
;A001607CV603_CUR;Slamtransportskruv 603 strömförbrukning;0;90;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV603_CUR; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV603_CUR.In.Value
;A001607CV604_CUR;Slamtransportskruv 604 strömförbrukning;0;90;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV604_CUR; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607CV604_CUR.In.Value
x;A001602FI605;SFM605 Slamflödesmätare 605;0;50;m3/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602FI605; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602FI605.In.Value
x;A001602FI604;SFM604 Slamflödesmätare 604;0;72;m3/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602FI604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602FI604.In.Value
x;A001610FI600;GMM600 Gasmängdsmätare ;0;500;m3/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI600; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI600.In.Value
;A001606PI601;CTM601 Centrifugslamtrycksmätare 601 ;0;10;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI601.In.Value
;A001606PI602;CTM602 Centrifglamtrycksmätare 602 ;0;10;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI602.In.Value
;A001606PI603;CTM603 Cetrifugslamtrycksmätare 603 ;0;10;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606PI603.In.Value
;A001610PI601;GTM601 Gastrycksmätare 601;0;60;mbar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610PI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610PI601.In.Value
;A001603LI601;RNM601 Rötslamnivåmätare 601;0;12,60000038;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI601.In.Value
;A001603LI602;RNM602 Rötslamnivåmätare 602;0;12,60000038;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI602.In.Value
;A001603TI601;RTM601 Rötslamtempmätare 601;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI601.In.Value
;A001603TI602;RTM602 Rötslamtempmätare 602;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI602.In.Value
;A001603TI603;RTM603 Rötslamtempmätare 603;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI603.In.Value
;A001603TI604;RTM604 Rötslamtempmätare 604;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI604.In.Value
;A001603TI605;RTM605 Rötslamtempmätare 605;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI605; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI605.In.Value
;A001603TI606;RTM606 Rötslamtempmätare 606;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI606; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI606.In.Value
x;A001107QI601;SHM601 Slamhaltsmätare 601;0;5;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001107QI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001107QI601.In.Value
x;A001602QI602;SHM602 Slamhaltsmätare 602 ;0;20;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602QI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602QI602.In.Value
;A001602PI611;STM611 Slamtrycksmätare 611 ;0;5;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI611.In.Value
;A001602PI612;STM612 Slamtrycksmätare 612;0;5;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI612; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI612.In.Value
;A001610QI601;GKM601 Gaskoncentrationsmätare 601 ;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI601.In.Value
;A001610QI606;GKM606 Gaskoncentrationsmätare 606 ;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI606; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI606.In.Value
x;A001606FI601;SFM601 Slamflödesmätare ;0;100;0; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606FI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606FI601.In.Value
x;A001606FI602;SFM602 Slamflödesmätare ;0;25;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606FI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001606FI602.In.Value
x;A001605FI601;PFM601 Polymerflödesmätare;0;12;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001605FI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001605FI601.In.Value
x;A001601FI607;PFM607 Polymerflödesmätare 607;0;30;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001601FI607; Applications.UC06_Slamhantering.Programs.AnalogIn.A001601FI607.In.Value
x;A001605FI602;PFM602 Polymerflödesmätare;0;12;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001605FI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001605FI602.In.Value
;A001604LI601;SFN601 Slamförrådsnivåmätare ;0;1000;m³; Applications.UC06_Slamhantering.Programs.AnalogIn.A001604LI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001604LI601.In.Value
;A001607LI601;SSN601 Slamsilonivåmätare ;0;190;m³; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI601.In.Value
;A001607LI602;SSN602 Slamsilonivåmätare ;0;190;m³; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI602.In.Value
;A001607LI603;SSN603 Slamsilonivåmätare ;0;7,5;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI603.In.Value
;A001607LI604;SSN604 Slamsilonivåmätare ;0;7,5;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001607LI604.In.Value
;A001083FI601;VFM601 Vattenflödesmätare;0;100;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001083FI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001083FI601.In.Value
;A001608LI602;SFM602 Slamförrådsmätare;0;450; ; Applications.UC06_Slamhantering.Programs.AnalogIn.A001608LI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001608LI602.In.Value
x;A001602LI600_1;SNM601 Slamnivåmätare i Förtjockare ;0;3,5;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI600_1; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI600_1.In.Value
;A001610HV621;GFV601 Gasfackelventil ;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610HV621; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610HV621.In.Value
;A001610HV622;GFV602 Gasfackelventil ;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610HV622; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610HV622.In.Value
;A001602LI601;YNM601 Ytnivåmätare 601;0;2,5;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI601.In.Value
;A001005PI621;FF21 Frekvensomriktare Tryckgivare;0;1000;Pa; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005PI621; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005PI621.In.Value
;A001005FI622;FF22 Frekvensomriktare Flödesgivare;0;15000;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FI622; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FI622.In.Value
