;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001204PI604;Tryck inkom. beredningsvatten;0;10;bar; Applications.KF08App.Programs.PB604.A001204PI604; Applications.KF08App.Programs.PB604.A001204PI604.In.Value
;A001204TI604;Temp inkom. beredningsvatten;0;50;°C; Applications.KF08App.Programs.PB604.A001204TI604; Applications.KF08App.Programs.PB604.A001204TI604.In.Value
x;A001203QI200;AMM200  AMMONIUMMÄTARE;0;40;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QI200; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QI200.In.Value
x;A001203QI201;NIM201  NITRATMÄTARE;0;40;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QI201; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QI201.In.Value
x;A001208FI222;SFM222  SLAMFLÖDSESMÄTARE;0;60;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001208FI222; Applications.KF14_BioA_App.Programs.Allmänt.A001208FI222.In.Value
;A001203LI221;KNM221  KANALNIVÅMÄTARE 0_1 mVP;0;1;m; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI221; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI221.In.Value
x;A001203FI221;KFM221  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m3/h; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI221; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI221.In.Value
;A001203HL221;ILL221 Inloppslucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL221; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL221.In.Value
;A001203QI221;SYM221  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI221; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI221.In.Value
;A001203QI222;SYM222  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI222; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI222.In.Value
